epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.6235,1.4203,5.98074,0.00665,0.37403,0.14185,0.07196,0.05159,1.18475,4.62262,0.00808,0.000329966,0.000329966,0.0673333
2,131.338,1.24809,2.69419,0.00556,0.45566,0.36743,0.35718,0.25158,1.14001,2.21899,0.00795,0.000660016,0.000660016,0.0343301
3,191.762,1.10927,2.10273,0.00469,0.49364,0.44522,0.45869,0.33846,1.05352,1.80751,0.00723,0.000986766,0.000986766,0.00132347
4,251.459,1.1344,1.80287,0.00489,0.62154,0.49508,0.56565,0.41384,1.06737,1.61382,0.00735,0.00098515,0.00098515,0.00098515
5,311.702,1.08813,1.56164,0.00483,0.61503,0.61278,0.64402,0.48071,1.04269,1.39487,0.00744,0.0009802,0.0009802,0.0009802
6,371.874,1.08699,1.41329,0.00455,0.67514,0.51851,0.63092,0.47538,1.03177,1.46008,0.00702,0.00097525,0.00097525,0.00097525
7,431.987,1.03628,1.32862,0.00438,0.65388,0.61549,0.66975,0.50175,0.97391,1.28387,0.00648,0.0009703,0.0009703,0.0009703
8,492.219,0.98797,1.25134,0.00418,0.71,0.63742,0.71688,0.53911,0.98842,1.2481,0.00659,0.00096535,0.00096535,0.00096535
9,551.865,0.98203,1.17659,0.00425,0.72561,0.62154,0.72042,0.55525,0.99344,1.23221,0.00688,0.0009604,0.0009604,0.0009604
10,612.007,0.99221,1.1455,0.00405,0.71083,0.70039,0.75727,0.5869,0.94495,1.157,0.00638,0.00095545,0.00095545,0.00095545
11,672.177,0.97011,1.03142,0.004,0.70673,0.70926,0.74632,0.56552,0.95986,1.17932,0.0061,0.0009505,0.0009505,0.0009505
12,732.388,0.98411,1.05643,0.00408,0.72418,0.67265,0.74488,0.5808,0.9259,1.14314,0.00595,0.00094555,0.00094555,0.00094555
13,792.671,0.94743,1.01428,0.00388,0.73303,0.73241,0.77162,0.60373,0.8557,1.11345,0.00569,0.0009406,0.0009406,0.0009406
14,851.398,0.93946,0.98863,0.00395,0.7135,0.72947,0.77715,0.59839,0.92757,1.07526,0.00632,0.00093565,0.00093565,0.00093565
15,911.416,0.93852,0.98696,0.00384,0.71105,0.71142,0.77254,0.59159,0.94487,1.05891,0.00616,0.0009307,0.0009307,0.0009307
16,971.526,0.92444,0.90502,0.00385,0.77519,0.72136,0.79259,0.61959,0.89541,1.03158,0.0059,0.00092575,0.00092575,0.00092575
17,1031.45,0.94559,0.87282,0.00395,0.73164,0.7559,0.79386,0.62241,0.91918,0.98265,0.00614,0.0009208,0.0009208,0.0009208
18,1091.44,0.90409,0.86567,0.00374,0.78181,0.72514,0.79263,0.62965,0.87501,0.96992,0.00575,0.00091585,0.00091585,0.00091585
19,1151.14,0.90356,0.85589,0.00365,0.72465,0.7194,0.79419,0.61903,0.92122,0.97617,0.00616,0.0009109,0.0009109,0.0009109
20,1211.21,0.89439,0.83533,0.00357,0.7672,0.73374,0.80563,0.60793,0.94047,0.99017,0.0063,0.00090595,0.00090595,0.00090595
21,1271.25,0.87076,0.8381,0.00329,0.79555,0.74081,0.81605,0.63649,0.85663,0.97292,0.00555,0.000901,0.000901,0.000901
22,1331.32,0.8446,0.76012,0.00346,0.81267,0.72577,0.81796,0.64366,0.92767,0.98333,0.00634,0.00089605,0.00089605,0.00089605
