epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1370.26,0.76246,1.1017,0.00274,0.69724,0.66254,0.71111,0.58902,0.70343,1.0055,0.00398,8.0695e-05,8.0695e-05,8.0695e-05
41,1404.3,0.78254,1.08338,0.00274,0.72182,0.64855,0.71256,0.58617,0.69873,0.99256,0.00396,8.02e-05,8.02e-05,8.02e-05
42,1438.32,0.77507,1.13999,0.00271,0.74257,0.63754,0.71045,0.59039,0.69069,1.01735,0.00395,7.9705e-05,7.9705e-05,7.9705e-05
43,1472.34,0.77679,1.06774,0.00271,0.70164,0.66383,0.70875,0.58544,0.71054,1.00298,0.00425,7.921e-05,7.921e-05,7.921e-05
44,1506.31,0.75229,1.07255,0.00257,0.70209,0.68273,0.71889,0.59258,0.69486,0.97625,0.00398,7.8715e-05,7.8715e-05,7.8715e-05
45,1540.34,0.75045,1.04028,0.00256,0.71855,0.67457,0.72607,0.59922,0.69733,0.97767,0.00407,7.822e-05,7.822e-05,7.822e-05
46,1574.36,0.74602,1.04076,0.00257,0.73066,0.66913,0.72462,0.59659,0.69696,0.98173,0.00415,7.7725e-05,7.7725e-05,7.7725e-05
47,1608.37,0.75648,1.02173,0.00256,0.70729,0.68086,0.72635,0.60041,0.68611,0.96404,0.00393,7.723e-05,7.723e-05,7.723e-05
48,1642.43,0.73397,1.005,0.00245,0.73731,0.65371,0.73098,0.60976,0.68681,0.96998,0.00395,7.6735e-05,7.6735e-05,7.6735e-05
49,1676.47,0.75269,1.01486,0.00267,0.74059,0.65157,0.72813,0.59953,0.70397,0.98381,0.00412,7.624e-05,7.624e-05,7.624e-05
50,1710.49,0.78049,1.03975,0.00267,0.69318,0.68925,0.73374,0.60957,0.70019,0.94472,0.00419,7.5745e-05,7.5745e-05,7.5745e-05
51,1744.43,0.74753,1.02805,0.00272,0.72533,0.66632,0.73333,0.60755,0.69272,0.95725,0.00409,7.525e-05,7.525e-05,7.525e-05
52,1778.43,0.72699,0.98747,0.00255,0.72298,0.68186,0.73342,0.60521,0.69297,0.96012,0.00394,7.4755e-05,7.4755e-05,7.4755e-05
53,1812.42,0.74365,1.01066,0.0026,0.74116,0.66217,0.73879,0.61435,0.68831,0.9292,0.00398,7.426e-05,7.426e-05,7.426e-05
54,1846.41,0.73621,1.04024,0.00276,0.72963,0.6834,0.74535,0.61487,0.68516,0.91563,0.00387,7.3765e-05,7.3765e-05,7.3765e-05
55,1880.45,0.74704,0.99246,0.00245,0.72136,0.69102,0.74563,0.61662,0.68823,0.92998,0.00395,7.327e-05,7.327e-05,7.327e-05
56,1914.45,0.73387,0.95799,0.00256,0.76061,0.66,0.74998,0.61706,0.6927,0.89982,0.00401,7.2775e-05,7.2775e-05,7.2775e-05
57,1948.43,0.74824,0.94711,0.00262,0.75019,0.67989,0.75266,0.61452,0.6985,0.89592,0.00405,7.228e-05,7.228e-05,7.228e-05
58,1982.45,0.72174,0.95068,0.00258,0.75319,0.68731,0.75353,0.62579,0.69401,0.90917,0.004,7.1785e-05,7.1785e-05,7.1785e-05
59,2016.49,0.73522,0.94079,0.00257,0.75285,0.68719,0.75803,0.62837,0.68339,0.88574,0.00394,7.129e-05,7.129e-05,7.129e-05
60,2050.53,0.7162,0.91525,0.00244,0.71741,0.7033,0.76169,0.63387,0.68447,0.90611,0.00394,7.0795e-05,7.0795e-05,7.0795e-05
61,2084.55,0.7382,0.977,0.00249,0.77265,0.67004,0.76123,0.63513,0.67136,0.89544,0.00394,7.03e-05,7.03e-05,7.03e-05
