epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1495.69,0.74127,0.58884,0.00265,0.79272,0.8137,0.86171,0.67979,0.79622,0.67064,0.00525,0.00079705,0.00079705,0.00079705
43,1538.2,0.73358,0.59029,0.00269,0.87494,0.7382,0.85696,0.67217,0.78659,0.75633,0.00506,0.0007921,0.0007921,0.0007921
44,1582.76,0.74494,0.58829,0.00267,0.84769,0.78452,0.88468,0.68726,0.79919,0.65482,0.00517,0.00078715,0.00078715,0.00078715
45,1627.17,0.72684,0.57387,0.00261,0.83064,0.7939,0.86491,0.68845,0.76526,0.70017,0.00537,0.0007822,0.0007822,0.0007822
46,1667.6,0.71491,0.55772,0.00265,0.86189,0.75818,0.87411,0.68939,0.75895,0.71213,0.00496,0.00077725,0.00077725,0.00077725
47,1711.31,0.7256,0.55891,0.00256,0.84933,0.77433,0.87504,0.69031,0.79736,0.67612,0.00525,0.0007723,0.0007723,0.0007723
48,1755.26,0.71355,0.54297,0.00255,0.80289,0.82507,0.87836,0.69466,0.76627,0.63918,0.00496,0.00076735,0.00076735,0.00076735
49,1799.16,0.70655,0.57012,0.00258,0.854,0.79657,0.88235,0.70813,0.74773,0.63446,0.00489,0.0007624,0.0007624,0.0007624
50,1843.11,0.73193,0.57917,0.00261,0.81758,0.8283,0.89022,0.69619,0.77056,0.63163,0.00496,0.00075745,0.00075745,0.00075745
51,1887.03,0.71917,0.52811,0.0028,0.81908,0.84143,0.89006,0.70507,0.75641,0.64988,0.00487,0.0007525,0.0007525,0.0007525
52,1926.46,0.68151,0.50807,0.00251,0.84568,0.79887,0.88413,0.70848,0.73931,0.61882,0.00467,0.00074755,0.00074755,0.00074755
53,1970.55,0.7034,0.52207,0.00251,0.85869,0.83471,0.8976,0.71545,0.75763,0.57968,0.00495,0.0007426,0.0007426,0.0007426
54,2010.52,0.69283,0.53809,0.00284,0.81578,0.80923,0.87725,0.69848,0.75696,0.6291,0.00489,0.00073765,0.00073765,0.00073765
55,2043.82,0.71015,0.53188,0.00242,0.82986,0.82864,0.89399,0.69729,0.74847,0.59262,0.00488,0.0007327,0.0007327,0.0007327
56,2086.43,0.69266,0.52176,0.00252,0.84381,0.81404,0.88751,0.6991,0.77081,0.60901,0.00498,0.00072775,0.00072775,0.00072775
57,2130.36,0.70718,0.50808,0.00253,0.86153,0.82524,0.88372,0.69697,0.77239,0.61515,0.00508,0.0007228,0.0007228,0.0007228
58,2174.42,0.68165,0.49137,0.00248,0.86089,0.81291,0.89247,0.71258,0.74997,0.6178,0.00487,0.00071785,0.00071785,0.00071785
59,2217.43,0.67549,0.48382,0.00248,0.85658,0.78885,0.88022,0.69999,0.75919,0.60528,0.00492,0.0007129,0.0007129,0.0007129
60,2257.03,0.66894,0.48043,0.00232,0.83717,0.80949,0.88992,0.70575,0.77487,0.5952,0.00504,0.00070795,0.00070795,0.00070795
61,2299,0.69221,0.50205,0.00243,0.82199,0.81544,0.87485,0.697,0.75991,0.6052,0.00479,0.000703,0.000703,0.000703
62,2342.91,0.67671,0.50513,0.00239,0.84762,0.77664,0.89062,0.70849,0.76179,0.58506,0.00505,0.00069805,0.00069805,0.00069805
63,2386.78,0.69185,0.48835,0.00239,0.84958,0.81269,0.89119,0.70589,0.74145,0.60335,0.00478,0.0006931,0.0006931,0.0006931
64,2430.76,0.66485,0.47065,0.00233,0.84882,0.81699,0.88416,0.70777,0.74857,0.6121,0.00494,0.00068815,0.00068815,0.00068815
65,2474.76,0.66965,0.44625,0.00236,0.84941,0.80477,0.88472,0.71416,0.72924,0.63853,0.00459,0.0006832,0.0006832,0.0006832
66,2518.81,0.6761,0.47589,0.00235,0.84401,0.81853,0.89222,0.71735,0.71786,0.61544,0.00468,0.00067825,0.00067825,0.00067825
67,2562.97,0.65836,0.48741,0.00233,0.84149,0.82631,0.89391,0.7236,0.71657,0.61701,0.00478,0.0006733,0.0006733,0.0006733
68,2606.93,0.64873,0.45144,0.00229,0.86295,0.81563,0.89516,0.71729,0.74777,0.64863,0.00484,0.00066835,0.00066835,0.00066835
69,2650.92,0.65406,0.461,0.00226,0.84183,0.80893,0.87281,0.70554,0.74014,0.60477,0.00481,0.0006634,0.0006634,0.0006634
70,2694.75,0.6653,0.45283,0.00227,0.86113,0.8131,0.8987,0.72205,0.73278,0.58748,0.00484,0.00065845,0.00065845,0.00065845
71,2738.63,0.63823,0.44203,0.00222,0.8787,0.79879,0.89947,0.72264,0.73626,0.59908,0.00467,0.0006535,0.0006535,0.0006535
72,2782.57,0.64976,0.46654,0.00228,0.82907,0.83039,0.89241,0.73407,0.70171,0.59958,0.00477,0.00064855,0.00064855,0.00064855
73,2826.95,0.62854,0.44397,0.00226,0.86421,0.84698,0.90909,0.72851,0.74557,0.56894,0.00471,0.0006436,0.0006436,0.0006436
74,2871.24,0.63352,0.43319,0.00223,0.88081,0.80917,0.90423,0.72695,0.72385,0.56325,0.00468,0.00063865,0.00063865,0.00063865
75,2915.18,0.66131,0.44427,0.0023,0.86586,0.84324,0.90703,0.73114,0.72537,0.57288,0.00463,0.0006337,0.0006337,0.0006337
76,2959.08,0.64201,0.44558,0.00229,0.87845,0.84554,0.91304,0.7387,0.72549,0.53309,0.00473,0.00062875,0.00062875,0.00062875
77,3003.06,0.64538,0.44612,0.00225,0.90102,0.82447,0.90815,0.73284,0.72109,0.58901,0.00462,0.0006238,0.0006238,0.0006238
78,3046.96,0.62469,0.4054,0.0021,0.82653,0.87897,0.90798,0.7264,0.71414,0.56822,0.00456,0.00061885,0.00061885,0.00061885
79,3089.61,0.63494,0.42281,0.00221,0.89349,0.81975,0.90216,0.73273,0.70776,0.56833,0.0045,0.0006139,0.0006139,0.0006139
80,3132.59,0.63898,0.40912,0.00208,0.92224,0.80789,0.91126,0.72929,0.7263,0.55692,0.00462,0.00060895,0.00060895,0.00060895
81,3176.89,0.61707,0.39783,0.00212,0.89274,0.81494,0.90281,0.73499,0.71378,0.57075,0.00458,0.000604,0.000604,0.000604
82,3220.87,0.63644,0.41108,0.0023,0.88187,0.82619,0.90311,0.73375,0.71489,0.55862,0.00464,0.00059905,0.00059905,0.00059905
83,3264.75,0.6273,0.4141,0.00213,0.8434,0.84632,0.89882,0.73226,0.69315,0.58463,0.0046,0.0005941,0.0005941,0.0005941
84,3307.33,0.62884,0.40422,0.00222,0.85551,0.88043,0.89902,0.72689,0.72065,0.58314,0.00461,0.00058915,0.00058915,0.00058915
85,3348.73,0.64073,0.41364,0.00215,0.85415,0.82434,0.89679,0.72324,0.70843,0.61229,0.00465,0.0005842,0.0005842,0.0005842
86,3385.19,0.64765,0.40277,0.00218,0.88761,0.81655,0.90063,0.72258,0.71675,0.58303,0.00462,0.00057925,0.00057925,0.00057925
87,3418.48,0.61298,0.39312,0.00214,0.87551,0.84347,0.90323,0.72282,0.71438,0.58779,0.00449,0.0005743,0.0005743,0.0005743
88,3451.73,0.60458,0.38779,0.0021,0.86016,0.835,0.89963,0.72062,0.71264,0.56397,0.00455,0.00056935,0.00056935,0.00056935
89,3485.03,0.59126,0.39969,0.00212,0.88001,0.83707,0.90357,0.72339,0.70438,0.54909,0.00448,0.0005644,0.0005644,0.0005644
90,3518.34,0.59753,0.37865,0.00209,0.85896,0.84986,0.90447,0.71605,0.73719,0.5706,0.00464,0.00055945,0.00055945,0.00055945
91,3551.62,0.61146,0.40017,0.00202,0.91547,0.81039,0.91354,0.72679,0.71938,0.53742,0.00442,0.0005545,0.0005545,0.0005545
92,3584.93,0.60315,0.40088,0.00202,0.90459,0.85065,0.91446,0.73273,0.71306,0.55052,0.00437,0.00054955,0.00054955,0.00054955
93,3618.21,0.58588,0.37718,0.00189,0.87191,0.87434,0.90754,0.72404,0.73811,0.549,0.00452,0.0005446,0.0005446,0.0005446
94,3651.55,0.60626,0.4001,0.00208,0.88012,0.81717,0.90525,0.73517,0.72053,0.54433,0.00453,0.00053965,0.00053965,0.00053965
95,3684.82,0.58798,0.37624,0.00198,0.85316,0.88393,0.90713,0.72672,0.71898,0.55501,0.00455,0.0005347,0.0005347,0.0005347
96,3718.11,0.60713,0.3883,0.00226,0.86323,0.8211,0.89374,0.71936,0.71845,0.58921,0.00456,0.00052975,0.00052975,0.00052975
97,3751.39,0.59044,0.3606,0.00195,0.86144,0.86473,0.91085,0.73415,0.72201,0.55941,0.00461,0.0005248,0.0005248,0.0005248
98,3784.68,0.56881,0.37763,0.00188,0.89775,0.84373,0.91046,0.73354,0.69298,0.58847,0.00426,0.00051985,0.00051985,0.00051985
99,3817.99,0.58145,0.36499,0.00193,0.91562,0.84167,0.91881,0.73675,0.70149,0.54677,0.00432,0.0005149,0.0005149,0.0005149
100,3851.27,0.58443,0.35941,0.002,0.9089,0.84744,0.90531,0.73497,0.71141,0.54039,0.0045,0.00050995,0.00050995,0.00050995
101,3884.57,0.58998,0.35591,0.00193,0.91257,0.82784,0.90774,0.72622,0.71861,0.5548,0.0045,0.000505,0.000505,0.000505
102,3917.89,0.5848,0.36631,0.00188,0.92832,0.83184,0.91394,0.7263,0.70968,0.54434,0.00451,0.00050005,0.00050005,0.00050005
