epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1862.19,0.71686,0.55237,0.00262,0.8524,0.83925,0.90122,0.72139,0.77741,0.58768,0.00516,0.000742625,0.000742625,0.000742625
43,1912.84,0.71859,0.53448,0.0026,0.87453,0.81805,0.89411,0.70631,0.7839,0.60884,0.00507,0.00073025,0.00073025,0.00073025
44,1961.43,0.72756,0.52206,0.00257,0.85093,0.81031,0.88205,0.70312,0.75588,0.6643,0.00503,0.000717875,0.000717875,0.000717875
45,2000.12,0.72426,0.51822,0.00253,0.8573,0.84389,0.89737,0.7178,0.7492,0.58759,0.00489,0.0007055,0.0007055,0.0007055
46,2038.83,0.69196,0.50787,0.00245,0.91819,0.79913,0.89843,0.71861,0.75739,0.58254,0.00494,0.000693125,0.000693125,0.000693125
47,2077.49,0.71764,0.50563,0.00243,0.8921,0.83041,0.9023,0.71971,0.75697,0.54528,0.00476,0.00068075,0.00068075,0.00068075
48,2116.22,0.69084,0.49362,0.0024,0.88481,0.83819,0.91466,0.71976,0.7548,0.56464,0.00479,0.000668375,0.000668375,0.000668375
49,2154.94,0.6912,0.50502,0.00249,0.86543,0.82268,0.89612,0.706,0.74526,0.6368,0.00484,0.000656,0.000656,0.000656
50,2193.75,0.7033,0.52826,0.00237,0.87663,0.80646,0.89766,0.7243,0.73293,0.63214,0.00485,0.000643625,0.000643625,0.000643625
51,2232.51,0.66328,0.4562,0.00243,0.87932,0.83156,0.90038,0.7253,0.73663,0.59544,0.00477,0.00063125,0.00063125,0.00063125
52,2271.28,0.65895,0.45429,0.00231,0.8345,0.86806,0.89464,0.72377,0.73347,0.57361,0.00475,0.000618875,0.000618875,0.000618875
53,2310.09,0.66055,0.45204,0.00221,0.83395,0.82678,0.89459,0.73179,0.7126,0.61071,0.00462,0.0006065,0.0006065,0.0006065
54,2348.88,0.63937,0.46493,0.00235,0.85448,0.83977,0.901,0.73693,0.71578,0.56831,0.00469,0.000594125,0.000594125,0.000594125
55,2387.65,0.6814,0.42892,0.00221,0.89347,0.82522,0.90629,0.73693,0.71924,0.56913,0.00478,0.00058175,0.00058175,0.00058175
